Iter. i,x_i,|x_i - x_i-1|
0,0.0,
1,0.24497866312686414,0.24497866312686414
2,0.4596224765784197,0.21464381345155556
3,0.6171548507948034,0.15753237421638366
4,0.7143694166151375,0.09721456582033416
5,0.7672617190328463,0.052892302417708814
6,0.7939549597585844,0.026693240725738088
7,0.8068997065899648,0.01294474683138036
8,0.8130539597492058,0.006154253159241008
9,0.8159520600060736,0.002898100256867764
10,0.8173106511482929,0.0013585911422193675
11,0.817946189201493,0.0006355380532000465
12,0.8182431931376761,0.0002970039361831489
13,0.818381926458355,0.00013873332067881883
14,0.8184467160053136,6.478954695865458e-05
