   , N   , Choleskio laik.      , Lygčių spr. laik.   , Didžiausio nuolydžio iteracijų skaič., Python 1-os funkcijos laik., Python 2-os funkcijos laik., Python 3-os funkcijos laik., Python 4-os funkcijos laik.
  0,    4,   0.209808349609375  , 0.022172927856445312,                                    10,        0.03600120544433594 ,        5.229949951171875   ,        2.104043960571289   ,         0.2789497375488281
  1,    9,   0.0629425048828125 , 0.032901763916015625,                                   132,        0.014066696166992188,        0.02002716064453125 ,        0.016689300537109375,         0.06890296936035156
  2,   14,   0.12493133544921875, 0.05125999450683594 ,                                   300,        0.007867813110351562,        0.015020370483398438,        0.015020370483398438,         0.07796287536621094
  3,   19,   0.20885467529296875, 0.06508827209472656 ,                                   558,        0.009059906005859375,        0.015020370483398438,        0.013828277587890625,         0.08511543273925781
  4,   24,   0.3211498260498047 , 0.0820159912109375  ,                                   868,        0.013828277587890625,        0.028133392333984375,        0.0209808349609375  ,         0.10991096496582031
  5,   29,   0.446319580078125  , 0.09441375732421875 ,                                  1272,        0.016927719116210938,        0.025987625122070312,        0.021696090698242188,         0.11014938354492188
  6,   34,   0.6048679351806641 , 0.11014938354492188 ,                                  1728,        0.6921291351318359  ,        0.8749961853027344  ,        2.285003662109375   ,         0.14281272888183594
  7,   39,   0.7989406585693359 , 0.12969970703125    ,                                  2276,        0.01621246337890625 ,        0.027894973754882812,        0.018835067749023438,         0.1533031463623047
  8,   44,   1.0020732879638672 , 0.14209747314453125 ,                                  2878,        0.024080276489257812,        0.04506111145019531 ,        0.036716461181640625,         0.19216537475585938
  9,   49,   1.2249946594238281 , 0.15974044799804688 ,                                  3572,        1.2879371643066406  ,        0.05030632019042969 ,        0.39768218994140625 ,         0.2512931823730469
 10,   54,   1.6269683837890625 , 0.1914501190185547  ,                                  4316,        0.07510185241699219 ,        0.07510185241699219 ,        0.03600120544433594 ,         0.26988983154296875
 11,   59,   1.8949508666992188 , 0.1888275146484375  ,                                  5156,        0.03409385681152344 ,        0.041961669921875   ,        0.027179718017578125,         0.2918243408203125
 12,   64,   2.0859241485595703 , 0.20551681518554688 ,                                  6046,        1.2080669403076172  ,        0.4661083221435547  ,        0.033855438232421875,         0.34308433532714844
 13,   69,   2.429962158203125  , 0.2276897430419922  ,                                  7030,        0.04887580871582031 ,        0.5750656127929688  ,        0.03218650817871094 ,         0.3840923309326172
 14,   74,   2.8247833251953125 , 0.24271011352539062 ,                                  8064,        0.27489662170410156 ,        0.053882598876953125,        0.03719329833984375 ,         0.4398822784423828
 15,   79,   3.1270980834960938 , 0.2608299255371094  ,                                  9192,        0.03790855407714844 ,        0.047206878662109375,        0.031948089599609375,         0.5259513854980469
 16,   84,   3.7393569946289062 , 0.2770423889160156  ,                                 10374,        0.04029273986816406 ,        0.056743621826171875,        0.0400543212890625  ,         0.5731582641601562
 17,   89,   3.859996795654297  , 0.28395652770996094 ,                                 11646,        0.07295608520507812 ,        0.08392333984375    ,        0.04601478576660156 ,         0.6601810455322266
 18,   94,   4.478931427001953  , 0.30994415283203125 ,                                 12972,        0.05316734313964844 ,        0.06008148193359375 ,        0.03790855407714844 ,         0.7159709930419922
 19,   99,   5.147218704223633  , 0.34165382385253906 ,                                 14390,        0.0591278076171875  ,        0.05888938903808594 ,        0.041961669921875   ,         0.8051395416259766
 20,  104,   5.610942840576172  , 0.3516674041748047  ,                                 15860,        0.06413459777832031 ,        0.06699562072753906 ,        0.041961669921875   ,         0.9050369262695312
 21,  109,   5.99980354309082   , 0.35762786865234375 ,                                 17422,        0.06604194641113281 ,        0.07295608520507812 ,        0.04506111145019531 ,         1.1188983917236328
 22,  114,   6.469011306762695  , 0.3764629364013672  ,                                 19038,        0.07390975952148438 ,        0.06914138793945312 ,        0.04696846008300781 ,         1.1281967163085938
 23,  119,   7.283926010131836  , 0.3840923309326172  ,                                 20746,        0.10418891906738281 ,        0.10514259338378906 ,        0.051975250244140625,         1.3267993927001953
 24,  124,   8.002758026123047  , 0.4608631134033203  ,                                 22504,        0.08511543273925781 ,        0.09274482727050781 ,        0.050067901611328125,         1.4939308166503906
 25,  129,   8.276939392089844  , 0.4248619079589844  ,                                 24358,        0.11014938354492188 ,        0.10895729064941406 ,        0.0629425048828125  ,         1.9068717956542969
 26,  134,   9.093999862670898  , 0.44608116149902344 ,                                 26262,        0.10967254638671875 ,        0.12421607971191406 ,        0.06103515625       ,         2.1409988403320312
 27,  139,   9.583234786987305  , 0.45418739318847656 ,                                 28260,        0.11014938354492188 ,        0.1201629638671875  ,        0.0629425048828125  ,         2.3889541625976562
 28,  144,  10.365009307861328  , 0.4868507385253906  ,                                 30310,        0.10395050048828125 ,        0.1289844512939453  ,        0.05984306335449219 ,         2.4979114532470703
 29,  149,  11.020183563232422  , 0.48995018005371094 ,                                 32452,        0.10395050048828125 ,        0.10824203491210938 ,        0.06604194641113281 ,         2.9108524322509766
 30,  154,  12.171030044555664  , 0.5362033843994141  ,                                 34646,        0.10204315185546875 ,        0.11086463928222656 ,        0.06198883056640625 ,         3.141164779663086
 31,  159,  12.82191276550293   , 0.5364418029785156  ,                                 36934,        0.1342296600341797  ,        0.14495849609375    ,        0.08511543273925781 ,         3.4799575805664062
 32,  164,  13.97395133972168   , 0.576019287109375   ,                                 39272,        0.13899803161621094 ,        0.13494491577148438 ,        0.07915496826171875 ,         3.7779808044433594
 33,  169,  14.056921005249023  , 0.5512237548828125  ,                                 41704,        0.12993812561035156 ,        0.12302398681640625 ,        0.06890296936035156 ,         4.105091094970703
 34,  174,  15.345096588134766  , 0.57220458984375    ,                                 44188,        0.14638900756835938 ,        0.13780593872070312 ,        0.07414817810058594 ,         4.428863525390625
 35,  179,  16.52216911315918   , 0.6232261657714844  ,                                 46766,        0.1850128173828125  ,        0.1800060272216797  ,        0.09584426879882812 ,         4.851818084716797
 36,  184,  16.849040985107422  , 0.6508827209472656  ,                                 49394,        0.15211105346679688 ,        0.14400482177734375 ,        0.11205673217773438 ,         5.2738189697265625
 37,  189,  18.045902252197266  , 0.659942626953125   ,                                 52116,        0.17404556274414062 ,        0.1690387725830078  ,        0.09489059448242188 ,         5.634069442749023
 38,  194,  19.26708221435547   , 0.6265640258789062  ,                                 54890,        0.1862049102783203  ,        0.1709461212158203  ,        0.10895729064941406 ,         6.011962890625
 39,  199,  20.69401741027832   , 0.6620883941650391  ,                                 57758,        0.18310546875       ,        0.1780986785888672  ,        0.09894371032714844 ,         6.466865539550781
 40,  204,  21.64292335510254   , 0.7200241088867188  ,                                 60676,        0.17690658569335938 ,        0.1761913299560547  ,        0.10085105895996094 ,         7.136106491088867
 41,  209,  22.533178329467773  , 0.7398128509521484  ,                                 63688,        0.1850128173828125  ,        0.1862049102783203  ,        0.11491775512695312 ,         7.429838180541992
 42,  214,  23.76389503479004   , 0.7588863372802734  ,                                 66752,        0.19311904907226562 ,        0.22602081298828125 ,        0.11491775512695312 ,         7.959127426147461
 43,  219,  24.89018440246582   , 0.7891654968261719  ,                                 69908,        0.21195411682128906 ,        0.21719932556152344 ,        0.11396408081054688 ,         8.455991744995117
 44,  224,  25.570154190063477  , 0.7870197296142578  ,                                 73116,        0.18596649169921875 ,        0.18906593322753906 ,        0.11897087097167969 ,         8.759021759033203
 45,  229,  27.836084365844727  , 0.8130073547363281  ,                                 76418,        0.225067138671875   ,        0.22292137145996094 ,        0.1220703125        ,         9.579896926879883
 46,  234,  28.71084213256836   , 0.8220672607421875  ,                                 79772,        0.24175643920898438 ,        0.22912025451660156 ,        0.1289844512939453  ,        10.190010070800781
 47,  239,  29.774904251098633  , 0.8378028869628906  ,                                 83218,        0.2372264862060547  ,        0.24390220642089844 ,        0.11897087097167969 ,        11.086225509643555
 48,  244,  30.310869216918945  , 0.8859634399414062  ,                                 86716,        0.2818107604980469  ,        0.25010108947753906 ,        0.1418590545654297  ,        11.560201644897461
 49,  249,  32.325029373168945  , 0.8852481842041016  ,                                 90308,        0.270843505859375   ,        0.26798248291015625 ,        0.14090538024902344 ,        12.15219497680664
 50,  254,  33.457040786743164  , 0.8461475372314453  ,                                 93950,        0.308990478515625   ,        0.29015541076660156 ,        0.141143798828125   ,        13.062715530395508
 51,  259,  33.924102783203125  , 0.8707046508789062  ,                                 97686,        0.2830028533935547  ,        0.28204917907714844 ,        0.14019012451171875 ,        13.797760009765625
 52,  264,  35.36796569824219   , 0.9367465972900391  ,                                101474,        0.25010108947753906 ,        0.24819374084472656 ,        0.1499652862548828  ,        14.475107192993164
 53,  269,  37.23502159118652   , 0.9520053863525391  ,                                105356,        0.28705596923828125 ,        0.2989768981933594  ,        0.14328956604003906 ,        15.858888626098633
 54,  274,  38.80596160888672   , 0.9675025939941406  ,                                109288,        0.3120899200439453  ,        0.31876564025878906 ,        0.1552104949951172  ,        15.864849090576172
 55,  279,  41.01681709289551   , 1.0020732879638672  ,                                113314,        0.3650188446044922  ,        0.3540515899658203  ,        0.16307830810546875 ,        17.05789566040039
 56,  284,  41.670799255371094  , 1.013040542602539   ,                                117392,        0.33473968505859375 ,        0.31113624572753906 ,        0.1709461212158203  ,        17.26698875427246
 57,  289,  43.17903518676758   , 1.0213851928710938  ,                                121562,        0.33211708068847656 ,        0.33211708068847656 ,        0.16188621520996094 ,        18.74709129333496
 58,  294,  45.10498046875      , 1.0402202606201172  ,                                125786,        0.4000663757324219  ,        0.3676414489746094  ,        0.17523765563964844 ,        19.149065017700195
 59,  299,  46.7379093170166    , 0.9968280792236328  ,                                130100,        0.3898143768310547  ,        0.37097930908203125 ,        0.17309188842773438 ,        21.061182022094727
 60,  304,  48.13885688781738   , 1.1167526245117188  ,                                134468,        0.3108978271484375  ,        0.2899169921875     ,        0.17905235290527344 ,        21.377086639404297
 61,  309,  50.440073013305664  , 1.112222671508789   ,                                138928,        0.40984153747558594 ,        0.41413307189941406 ,        0.18906593322753906 ,        22.567033767700195
 62,  314,  51.4531135559082    , 1.1279582977294922  ,                                143442,        0.47588348388671875 ,        0.45418739318847656 ,        0.19788742065429688 ,        24.4901180267334
 63,  319,  54.08501625061035   , 1.1489391326904297  ,                                148046,        0.43511390686035156 ,        0.4317760467529297  ,        0.1983642578125     ,        24.908781051635742
 64,  324,  54.8090934753418    , 1.157999038696289   ,                                152704,        0.3991127014160156  ,        0.3981590270996094  ,        0.19669532775878906 ,        25.714397430419922
 65,  329,  56.59008026123047   , 1.1203289031982422  ,                                157454,        0.4379749298095703  ,        0.44798851013183594 ,        0.2040863037109375  ,        27.51898765563965
 66,  334,  58.51387977600098   , 1.1949539184570312  ,                                162256,        0.4611015319824219  ,        0.45180320739746094 ,        0.21409988403320312 ,        28.625011444091797
 67,  339,  59.43179130554199   , 1.199960708618164   ,                                167152,        0.49304962158203125 ,        0.5140304565429688  ,        0.21696090698242188 ,        30.58910369873047
 68,  344,  61.896324157714844  , 1.2233257293701172  ,                                172098,        0.3871917724609375  ,        0.3829002380371094  ,        0.2200603485107422  ,        29.812097549438477
 69,  349,  64.0559196472168    , 1.2543201446533203  ,                                177138,        0.492095947265625   ,        0.5047321319580078  ,        0.22292137145996094 ,        32.61208534240723
 70,  354,  66.30516052246094   , 1.2841224670410156  ,                                182230,        0.4990100860595703  ,        0.5137920379638672  ,        0.2300739288330078  ,        34.230947494506836
 71,  359,  67.75403022766113   , 1.2905597686767578  ,                                187414,        0.5791187286376953  ,        0.5409717559814453  ,        0.2522468566894531  ,        36.1170768737793
 72,  364,  70.11723518371582   , 1.3191699981689453  ,                                192652,        0.4830360412597656  ,        0.49591064453125    ,        0.23818016052246094 ,        35.40205955505371
 73,  369,  71.81215286254883   , 1.3496875762939453  ,                                197982,        0.6051063537597656  ,        0.5567073822021484  ,        0.263214111328125   ,        39.0470027923584
 74,  374,  74.47695732116699   , 1.3682842254638672  ,                                203362,        0.5700588226318359  ,        0.6000995635986328  ,        0.2627372741699219  ,        38.393259048461914
 75,  379,  75.19197463989258   , 1.3751983642578125  ,                                208838,        0.5908012390136719  ,        0.6341934204101562  ,        0.2639293670654297  ,        41.53108596801758
 76,  384,  77.01611518859863   , 1.4166831970214844  ,                                214364,        0.5397796630859375  ,        0.4761219024658203  ,        0.3018379211425781  ,        42.91081428527832
 77,  389,  79.73003387451172   , 1.4102458953857422  ,                                219984,        0.6308555603027344  ,        0.6399154663085938  ,        0.2942085266113281  ,        45.08805274963379
 78,  394,  81.39276504516602   , 1.3728141784667969  ,                                225654,        0.6380081176757812  ,        0.6389617919921875  ,        0.2770423889160156  ,        45.12977600097656
 79,  399,  83.4810733795166    , 1.4607906341552734  ,                                231420,        0.6999969482421875  ,        0.6861686706542969  ,        0.28896331787109375 ,        47.44386672973633
 80,  404,  85.54983139038086   , 1.4579296112060547  ,                                237236,        0.6268024444580078  ,        0.6096363067626953  ,        0.3001689910888672  ,        50.31275749206543
