,N,Apytiksle reiksme,Apytiksle paklaida,Tikroji paklaida
0,20,0.16580789253512848,0.04462599572346135,0.018070123164871527
1,40,0.1747665222837933,0.022312997861730674,0.009111493416206706
2,60,0.17778673721153154,0.014875331907820448,0.006091278488468466
3,80,0.17930320368061753,0.011156498930865337,0.004574812019382479
4,100,0.1802151171114943,0.008925199144692269,0.003662898588505714
5,120,0.18082390648284238,0.007437665953910224,0.0030541092171576245
6,140,0.18125917087471444,0.006375142246208763,0.002618844825285571
7,160,0.181585846016378,0.0055782494654326685,0.002292169683622003
8,180,0.18184006110348752,0.0049584439692734825,0.0020379545965124868
9,200,0.18204351785568226,0.004462599572346134,0.001834497844317745
10,220,0.18221003845816267,0.004056908702132849,0.0016679772418373429
11,240,0.18234884411729113,0.003718832976955112,0.001529171582708877
12,260,0.1824663223897119,0.0034327689018047187,0.0014116933102881202
13,280,0.18256703799137772,0.0031875711231043814,0.0013109777086222907
14,300,0.18265433973425688,0.0029750663815640895,0.0012236759657431318
