   , x   , y_est              , y_real             , error
  0, 0.0 ,  1.0               ,  1.0               , 0.0
  1, 0.01,  1.000100000000125 ,  1.0001000000001667, 4.1744385725905886e-14
  2, 0.02,  1.0004000000094977,  1.0004000000106634, 1.1657341758564144e-12
  3, 0.03,  1.000900000115054 ,  1.000900000121418 , 6.364020421756322e-12
  4, 0.04,  1.0016000006612467,  1.0016000006818488, 2.0602186623364105e-11
  5, 0.05,  1.0025000025485051,  1.0025000025992967, 5.0791593153576287e-11
  6, 0.06,  1.0036000076493368,  1.0036000077550853, 1.0574852105094124e-10
  7, 0.07,  1.0049000193403403,  1.0049000195364814, 1.9614110335908208e-10
  8, 0.08,  1.0064000431479416,  1.006400043482373 , 3.344313714848113e-10
  9, 0.09,  1.0081000875052186,  1.0081000880400242, 5.348055331921842e-10
 10, 0.1 ,  1.0100001646167613,  1.0100001654298556, 8.130942585893308e-10
 11, 0.11,  1.0121002914281196,  1.0121002926148124, 1.1866927440706831e-09
 12, 0.12,  1.0144004906960364,  1.0144004923705061, 1.6744696740289555e-09
 13, 0.13,  1.0169007921553348,  1.0169007944520108, 2.2966759605225207e-09
 14, 0.14,  1.0196012337780391,  1.0196012368528897, 3.0748505963629214e-09
 15, 0.15,  1.0225018631200626,  1.0225018671517874, 4.031724731845543e-09
 16, 0.16,  1.025602738750581 ,  1.0256027439417097, 5.1911286380601496e-09
 17, 0.17,  1.0289039317590452,  1.0289039383369418, 6.5778966717999765e-09
 18, 0.18,  1.0324055273346537,  1.0324055355524353, 8.217781566344229e-09
 19, 0.19,  1.0361076264130278,  1.0361076365503972, 1.0137369388374395e-08
 20, 0.2 ,  1.0400103473847737,  1.040010359748775 , 1.2364001378273315e-08
 21, 0.21,  1.044113827860624 ,  1.04411384278633  , 1.492570600447607e-08
 22, 0.22,  1.0484182264878719,  1.048418244339009 , 1.7851137235069814e-08
 23, 0.23,  1.0529237248128889,  1.052923745982411 , 2.1169522135267016e-08
 24, 0.24,  1.0576305291846162,  1.0576305540952384, 2.4910622231644197e-08
 25, 0.25,  1.0625388726940592,  1.0625389017987616, 2.9104702425897244e-08
 26, 0.26,  1.0676490171449802,  1.067649050927496 , 3.3782515895808274e-08
 27, 0.27,  1.0729612550511798,  1.0729612940264766, 3.897529676777367e-08
 28, 0.28,  1.078475911845134 ,  1.0784759563707456, 4.4525611642143303e-08
 29, 0.29,  1.0841933473984409,  1.0841933980028957, 5.060445484872389e-08
 30, 0.3 ,  1.0901139585508604,  1.0901140157847804, 5.7233920047750075e-08
 31, 0.31,  1.0962381810247805,  1.0962382454597697, 6.443498912211965e-08
 32, 0.32,  1.1025664914948108,  1.1025665637222233, 7.222741249535147e-08
 33, 0.33,  1.109099409661553 ,  1.1090994902911457, 8.062959278021253e-08
 34, 0.34,  1.1158375003268202,  1.1158375899852933, 8.965847309028163e-08
 35, 0.35,  1.1227813754678801,  1.1227814747973097, 9.932942957036062e-08
 36, 0.36,  1.1299316963086135,  1.1299318059647816, 1.0965616814573309e-07
 37, 0.37,  1.1372891753857843,  1.1372892960364094, 1.206506250461814e-07
 38, 0.38,  1.1448545786089297,  1.144854710931804 , 1.323228742133864e-07
 39, 0.39,  1.1526287273126776,  1.1526288719937139, 1.446810362626394e-07
 40, 0.4 ,  1.1606125003005994,  1.1606126580317917, 1.5773119232953547e-07
 41, 0.41,  1.1688068358799923,  1.1688070073572931, 1.7147730080324664e-07
 42, 0.42,  1.177212733887267 ,  1.1772129198083878, 1.859211207211331e-07
 43, 0.43,  1.1858312577038865,  1.1858314587660206, 2.0106213405313156e-07
 44, 0.44,  1.194663536263058 ,  1.194663753160532 , 2.1689747398134784e-07
 45, 0.45,  1.203710766047632 ,  1.2037109994694861, 2.334218540678279e-07
 46, 0.46,  1.2129742130798904,  1.212974463707393 , 2.5062750252935473e-07
 47, 0.47,  1.222455214904131 ,  1.2224554834082244, 2.685040934036209e-07
 48, 0.48,  1.2321551825631645,  1.2321554696018493, 2.870386848208284e-07
 49, 0.49,  1.2420756025700321,  1.2420759087856865, 3.0621565438870846e-07
 50, 0.5 ,  1.2522180388764361,  1.2522183648930736, 3.2601663746412157e-07
 51, 0.51,  1.2625841348395457,  1.2625844812600104, 3.464204647585234e-07
 52, 0.52,  1.2731756151889924,  1.2731759825920934, 3.674031010536538e-07
 53, 0.53,  1.28399428799602  ,  1.283994676933601 , 3.8893758103064613e-07
 54, 0.54,  1.2950420466468795,  1.2950424576408273, 4.109939477636715e-07
 55, 0.55,  1.306320871822684 ,  1.3063213053618719, 4.3353918788291423e-07
 56, 0.56,  1.317832833488047 ,  1.3178332900252108, 4.5653716385096743e-07
 57, 0.57,  1.3295800928909296,  1.329580572839477 , 4.799485473494514e-07
 58, 0.58,  1.3415649045762073,  1.3415654083069557, 5.037307484467846e-07
 59, 0.59,  1.3537896184155536,  1.3537901462533952, 5.278378416573304e-07
 60, 0.6 ,  1.3662566816563089,  1.3662572338767982, 5.522204893360083e-07
 61, 0.61,  1.3789686409920667,  1.3789692178179285, 5.768258617422362e-07
 62, 0.62,  1.3919281446577714,  1.3919287462553243, 6.015975528850248e-07
 63, 0.63,  1.4051379445521726,  1.4051385710276645, 6.264754919271809e-07
 64, 0.64,  1.4186008983905298,  1.4186015497863804, 6.513958505927064e-07
 65, 0.65,  1.4323199718905029,  1.4323206481814479, 6.762909450230836e-07
 66, 0.66,  1.4462982409942025,  1.446298942083335 , 7.010891325265334e-07
 67, 0.67,  1.460538894129412 ,  1.4605396198441134, 7.257147014438914e-07
 68, 0.68,  1.475045234513022 ,  1.4750459846007802, 7.500877581279042e-07
 69, 0.69,  1.4898206824997533,  1.4898214566238572, 7.74124103930518e-07
 70, 0.7 ,  1.5048687779792655,  1.5048695757143735, 7.977351079713202e-07
 71, 0.71,  1.5201931828247879,  1.5201940036523582, 8.208275703580625e-07
 72, 0.72,  1.535797683396423 ,  1.5357985267000058, 8.433035827426494e-07
 73, 0.73,  1.5516861931023123,  1.5516870581626878, 8.650603755544495e-07
 74, 0.74,  1.5678627550208715,  1.5678636410110318, 8.859901603486264e-07
 75, 0.75,  1.58433154458734  ,  1.5843324505673035, 9.059799634947296e-07
 76, 0.76,  1.6010968723479106,  1.601097797259361 , 9.249114503173672e-07
 77, 0.77,  1.618163186784741 ,  1.618164129445483 , 9.426607419094069e-07
 78, 0.78,  1.6355350772151829,  1.635536036313403 , 9.590982201768128e-07
 79, 0.79,  1.6532172767685955,  1.6532182508569189, 9.740883233355646e-07
 80, 0.8 ,  1.6712146654441524,  1.6712156529334876, 9.874893351913272e-07
 81, 0.81,  1.6895322732530886,  1.6895332724062453, 9.991531566555523e-07
 82, 0.82,  1.7081752834488804,  1.7081762923739547, 1.008925074375e-06
 83, 0.83,  1.727149035848896 ,  1.7271500524924066, 1.016643510709514e-06
 84, 0.84,  1.7464590302511092,  1.7464600523908775, 1.0221397683807254e-06
 85, 0.85,  1.7661109299495186,  1.7661119551872764, 1.0252377578012783e-06
 86, 0.86,  1.786110565351977 ,  1.7861115911056922, 1.0257537150781815e-06
 87, 0.87,  1.8064639377041982,  1.806464961200102 , 1.0234959038069036e-06
 88, 0.88,  1.8271772229237735,  1.8271782411880815, 1.018264307983685e-06
 89, 0.89,  1.848256775548106 ,  1.8482577853984128, 1.0098503067101916e-06
 90, 0.9 ,  1.869709132800245 ,  1.8697101308365807, 9.980363355754918e-07
 91, 0.91,  1.8915410187766843,  1.8915420013722173, 9.825955329390013e-07
 92, 0.92,  1.9137593487612767,  1.913760312052649 , 9.632913722246172e-07
 93, 0.93,  1.9363712336695098,  1.9363721735467845, 9.398772746749273e-07
 94, 0.94,  1.9593839846274808,  1.9593848967236889, 9.120962081166084e-07
 95, 0.95,  1.9828051176900185,  1.9828059973702852, 8.796802666299897e-07
 96, 0.96,  2.0066423587025035,  2.0066432010527375, 8.423502340093592e-07
 97, 0.97,  2.030903648311053 ,  2.030904448126179 , 7.99815125684944e-07
 98, 0.98,  2.055597147125864 ,  2.0555978988975765, 7.517717124372325e-07
 99, 0.99,  2.0807312410426215,  2.0807319389466463, 6.979040247934165e-07
100, 1.0 ,  2.1063145467270292,  2.106315184609865 , 6.37882835885506e-07
101, 1.01,  2.1323559172676454,  2.132356488632766 , 5.713651205496717e-07
102, 1.02,  2.158864448002359 ,  2.158864945995855 , 4.979934957738408e-07
103, 1.03,  2.185849482523996 ,  2.1858498999196274, 4.173956313913152e-07
104, 1.04,  2.213320618870701 ,  2.213320948054345 , 3.2918364434308955e-07
105, 1.05,  2.241287715906912 ,  2.2412879488603714, 2.3295345963347813e-07
106, 1.06,  2.2697608999009176,  2.2697610281850666, 1.2828414908128138e-07
107, 1.07,  2.2987505713051686,  2.2987505860424116, 1.473724298151069e-08
108, 1.08,  2.3282674117457085,  2.3282673036017205, 1.0814398798686398e-07
109, 1.09,  2.358322391227284 ,  2.3583221503919995, 2.408352846039463e-07
110, 1.1 ,  2.3889267755609023,  2.3889263917287296, 3.838321727123173e-07
111, 1.11,  2.4200921340208206,  2.420091596370043 , 5.376507776766459e-07
112, 1.12,  2.4518303472381744,  2.4518296444095053, 7.028286690413665e-07
113, 1.13,  2.4841536153386845,  2.484152735412948 , 8.799257367186897e-07
114, 1.14,  2.5170744663321263,  2.5170733968070125, 1.0695251138059803e-06
115, 1.15,  2.550605764761496 ,  2.550604492527373 , 1.2722341229398637e-06
116, 1.16,  2.584760720620069 ,  2.5847592319347954, 1.4886852737205913e-06
117, 1.17,  2.6195528985448244,  2.619551179007531 , 1.7195372934430964e-06
118, 1.18,  2.6549962272949807,  2.6549942618187736, 1.9654762071219523e-06
119, 1.19,  2.6911050095246947,  2.6911027823082367, 2.2272164579284492e-06
120, 1.2 ,  2.727893931859269 ,  2.7278914263571976, 2.5055020715925025e-06
121, 1.21,  2.765378080602068 ,  2.765375274176666 , 2.806425401846724e-06
122, 1.22,  2.803572936856721 ,  2.8035698110186864, 3.1258380346343984e-06
123, 1.23,  2.8424944028214503,  2.84249093822109  , 3.464600360381098e-06
124, 1.24,  2.8821588082049043,  2.882154984596409 , 3.82360849515706e-06
125, 1.25,  2.9225829219717485,  2.922578718175989 , 4.2037957594942554e-06
126, 1.26,  2.9637839644549633,  2.9637793583207546, 4.606134208717805e-06
127, 1.27,  3.005779619846688 ,  3.0057745882104543, 5.031636233887582e-06
128, 1.28,  3.0485880490798585,  3.0485825677236384, 5.4813562200273225e-06
129, 1.29,  3.0922279031133133,  3.0922219467210237, 5.9563922896188615e-06
130, 1.3 ,  3.1367183366334856,  3.1367118787453867, 6.457888098942988e-06
131, 1.31,  3.1820790221862545,  3.182072035151529 , 6.987034725458585e-06
132, 1.32,  3.2283301647530114,  3.228322619680388 , 7.545072623571514e-06
133, 1.33,  3.2754925167854805,  3.275484383491813 , 8.133293667444974e-06
134, 1.34,  3.323587393714358 ,  3.3235786406710823, 8.753043275522288e-06
135, 1.35,  3.372636689947353 ,  3.372627284224724 , 9.405722629196589e-06
136, 1.36,  3.4226628953727767,  3.4226528025817995, 1.0092790977189736e-05
137, 1.37,  3.4736891123853844,  3.4736782966173414, 1.0815768042959917e-05
138, 1.38,  3.5257390734517835,  3.5257274972152572, 1.1576236526256167e-05
139, 1.39,  3.5788371592333257,  3.5788247833886038, 1.2375844721912443e-05
140, 1.4 ,  3.6330084172850414,  3.632995200975811 , 1.3216309230568157e-05
141, 1.41,  3.6882785813498433,  3.688264481932041 , 1.4099417802171388e-05
