  , x   , y_est              , y_real             , error
 0, 0.0 ,  1.0               ,  1.0               , 0.0
 1, 0.05,  1.0025000103648425,  1.0025000025992967, 7.765545761984072e-09
 2, 0.1 ,  1.0100002037565732,  1.0100001654298556, 3.8326717577419345e-08
 3, 0.15,  1.0225019723131494,  1.0225018671517874, 1.0516136206284443e-07
 4, 0.2 ,  1.0400105791720888,  1.040010359748775 , 2.194233137409185e-07
 5, 0.25,  1.0625392913946266,  1.0625389017987616, 3.895958649025033e-07
 6, 0.3 ,  1.0901146373685178,  1.0901140157847804, 6.215837373702016e-07
 7, 0.35,  1.1227823939470278,  1.1227814747973097, 9.191497181149089e-07
 8, 0.4 ,  1.160613942572364 ,  1.1606126580317917, 1.284540572354942e-06
 9, 0.45,  1.2037127186100776,  1.2037109994694861, 1.7191405914385172e-06
10, 0.5 ,  1.252220588918903 ,  1.2522183648930736, 2.22402582950032e-06
11, 0.55,  1.306324105705953 ,  1.3063213053618719, 2.8003440810664415e-06
12, 0.6 ,  1.3662606833709756,  1.3662572338767982, 3.4494941774099175e-06
13, 0.65,  1.4323248212931823,  1.4323206481814479, 4.173111734395718e-06
14, 0.7 ,  1.504874548598871 ,  1.5048695757143735, 4.972884497522756e-06
15, 0.75,  1.5843383007893403,  1.5843324505673035, 5.8502220368072955e-06
16, 0.8 ,  1.6712224587303846,  1.6712156529334876, 6.805796896935945e-06
17, 0.85,  1.7661197941492897,  1.766111955187277 , 7.838962012618467e-06
18, 0.9 ,  1.8697190778719304,  1.8697101308365807, 8.947035349704535e-06
19, 0.95,  1.9828161217991693,  1.9828059973702852, 1.012442888415066e-05
20, 1.0 ,  2.106326546195311 ,  2.106315184609865 , 1.1361585445790467e-05
21, 1.05,  2.2413005925335594,  2.2412879488603714, 1.2643673187984206e-05
22, 1.1 ,  2.388940340701311 ,  2.3889263917287296, 1.3948972581445673e-05
23, 1.15,  2.5506197394011783,  2.550604492527373 , 1.5246873805274674e-05
24, 1.2 ,  2.727907921739141 ,  2.7278914263571985, 1.6495381942593923e-05
25, 1.25,  2.9225963561780683,  2.922578718175989 , 1.76380020793232e-05
26, 1.3 ,  3.136730478590113 ,  3.1367118787453867, 1.859984472618592e-05
27, 1.35,  3.3726465669767243,  3.372627284224724 , 1.9282752000471248e-05
28, 1.4 ,  3.6330147601702314,  3.632995200975811 , 1.955919442053755e-05
29, 1.45,  3.9208892899908516,  3.92087002536667  , 1.9264624181669632e-05
30, 1.5 ,  4.239767198470106 ,  4.23974901058035  , 1.8187889756049458e-05
31, 1.55,  4.593657054708521 ,  4.593640995494432 , 1.6059214088315343e-05
32, 1.6 ,  4.987159478109953 ,  4.987146943001195 , 1.2535108757205649e-05
33, 1.65,  5.425561626422523 ,  5.425554446990669 , 7.179431853465701e-06
34, 1.7 ,  5.914948230837896 ,  5.914948791249223 , 5.604113271218125e-07
35, 1.75,  6.462332271836056 ,  6.4623436552265385, 1.1383390482677669e-05
36, 1.8 ,  7.075809007515117 ,  7.075835180012538 , 2.6172497420873242e-05
37, 1.85,  7.764737814172152 ,  7.764783856319816 , 4.604214766423809e-05
38, 1.9 ,  8.5399572056475   ,  8.540029603557885 , 7.239791038493593e-05
39, 1.95,  9.414039498840015 ,  9.414146510674003 , 0.00010701183398786895
40, 2.0 , 10.401592931571445 , 10.40174504909097  , 0.0001521175195247082
